timestamp,attack_name,damage
2025-05-09 00:13:50,Fencer Body,30
2025-05-09 00:14:35,Fencer Body,30
2025-05-09 00:14:38,Gunman Exploding-Laser,3
2025-05-09 00:14:50,Gunman Homing-Laser,25
2025-05-09 00:15:11,Wizard Track-Cast,35
2025-05-09 00:15:14,Fencer Forward-Shards,20
2025-05-09 00:15:14,Fencer Forward-Shards,20
2025-05-09 00:15:14,Fencer Forward-Shards,20
2025-05-09 00:15:14,Fencer Forward-Shards,20
2025-05-09 00:15:23,Fencer Raining-Shards,30
2025-05-09 00:15:37,Wizard Radial-Cast,25
2025-05-09 00:15:46,Wizard Body,30
2025-05-09 00:15:52,Wizard Track-Cast,35
2025-05-09 00:16:03,Gunman Exploding-Laser,3
2025-05-09 00:16:25,Gunman Exploding-Laser,20
2025-05-09 00:16:59,Fencer Forward-Shards,20
2025-05-09 00:16:59,Fencer Forward-Shards,20
2025-05-09 00:17:29,Gunman Exploding-Laser,3
2025-05-09 00:17:35,Wizard Track-Cast,35
2025-05-09 00:17:45,Gunman Homing-Laser,25
2025-05-09 00:18:09,Fencer Forward-Shards,20
2025-05-09 00:18:15,Fencer Forward-Shards,20
2025-05-09 00:18:15,Fencer Forward-Shards,20
2025-05-09 00:18:23,Gunman Bouncing-Laser,35
2025-05-09 07:26:04,Wizard Radial-Cast,25
2025-05-09 09:44:39,Wizard Radial-Cast,25
2025-05-09 09:44:57,Wizard Burst-Cast ,30
2025-05-09 09:45:02,Gunman Bouncing-Laser,35
2025-05-09 09:45:29,Fencer Slash,30
2025-05-09 09:45:48,Fencer Forward-Shards,20
2025-05-09 09:46:28,Gunman Bouncing-Laser,35
2025-05-09 09:46:33,Gunman Homing-Laser,25
2025-05-09 09:46:36,Gunman Exploding-Laser,20
2025-05-09 09:47:12,Wizard Track-Cast,35
2025-05-09 09:47:34,Fencer Raining-Shards,30
2025-05-09 09:47:51,Wizard Radial-Cast,25
2025-05-09 09:48:15,Fencer Forward-Shards,20
2025-05-09 09:48:15,Fencer Forward-Shards,20
2025-05-09 09:48:28,Fencer Raining-Shards,30
2025-05-09 09:48:32,Wizard Body,30
2025-05-09 09:48:39,Gunman Exploding-Laser,20
2025-05-09 10:41:52,Fencer Forward-Shards,20
2025-05-09 10:41:52,Fencer Forward-Shards,20
2025-05-09 10:42:07,Fencer Raining-Shards,30
2025-05-09 10:42:47,Wizard Track-Cast,35
2025-05-09 10:43:07,Wizard Track-Cast,35
2025-05-09 10:43:15,Fencer Forward-Shards,20
2025-05-09 10:43:20,Fencer Slash,30
2025-05-09 10:43:24,Fencer Raining-Shards,30
2025-05-09 10:46:33,Wizard Radial-Cast,25
2025-05-09 10:46:33,Wizard Radial-Cast,25
2025-05-09 10:48:32,Fencer Forward-Shards,20
2025-05-09 10:48:42,Fencer Forward-Shards,20
2025-05-09 10:48:47,Wizard Track-Cast,35
2025-05-09 10:52:55,Wizard Radial-Cast,25
2025-05-09 10:53:01,Wizard Radial-Cast,25
2025-05-09 10:53:05,Fencer Slash,30
2025-05-09 10:53:14,Fencer Raining-Shards,30
2025-05-09 10:53:14,Fencer Raining-Shards,30
2025-05-09 12:07:45,Wizard Radial-Cast,25
2025-05-09 12:08:01,Gunman Exploding-Laser,3
2025-05-09 12:08:11,Gunman Homing-Laser,25
2025-05-09 12:08:21,Gunman Body,30
2025-05-09 12:08:31,Wizard Burst-Cast ,30
2025-05-09 12:09:00,Gunman Bouncing-Laser,35
2025-05-09 12:09:05,Gunman Bouncing-Laser,35
2025-05-09 12:10:05,Wizard Radial-Cast,25
